"Brand","Model","Minivan","Wagon","Pickup","Automatic","EngineSize","Cylinders","CityMPG","HwyMPG","SUV","AWD","Hybrid"
"MAZDA","","0.0","0.0","0.0","1.0","2.0","4.0","26.0","34.0","0.0","0.0","0.0"
"MINI","Cooper","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"MINI","Cooper Conv","0.0","0.0","0.0","1.0","1.6","4.0","26.0","33.0","0.0","0.0","0.0"
"PONTIAC","Sunfire","0.0","0.0","0.0","0.0","2.2","4.0","26.0","36.0","0.0","0.0","0.0"
"PONTIAC","Vibe AWD","0.0","1.0","0.0","1.0","1.8","4.0","26.0","31.0","0.0","1.0","0.0"
"PONTIAC","Wave","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"PONTIAC","Wave 5","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"SATURN","Ion","0.0","0.0","0.0","0.0","2.2","4.0","26.0","35.0","0.0","0.0","0.0"
"SUZUKI","Swift","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"SUZUKI","Swift +","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"TOYOTA","Corolla","0.0","0.0","0.0","0.0","1.8","4.0","26.0","34.0","0.0","0.0","0.0"
"TOYOTA","Matrix 4WD","0.0","1.0","0.0","1.0","1.8","4.0","26.0","31.0","0.0","0.0","0.0"
"TOYOTA","MR2","0.0","0.0","0.0","0.0","1.8","4.0","26.0","32.0","0.0","0.0","0.0"
"TOYOTA","MR2","0.0","0.0","0.0","0.0","1.8","4.0","26.0","33.0","0.0","0.0","0.0"
"ACURA","RSX","0.0","0.0","0.0","1.0","2.0","4.0","25.0","34.0","0.0","0.0","0.0"
"CHEVROLET","Classic","0.0","0.0","0.0","1.0","2.2","4.0","25.0","34.0","0.0","0.0","0.0"
"CHEVROLET","Cobalt","0.0","0.0","0.0","0.0","2.2","4.0","25.0","34.0","0.0","0.0","0.0"
"KIA","Rio","0.0","0.0","0.0","0.0","1.6","4.0","25.0","31.0","0.0","0.0","0.0"
"KIA","Spectra","0.0","0.0","0.0","0.0","2.0","4.0","25.0","33.0","0.0","0.0","0.0"
"MAZDA","","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","25.0","32.0","0.0","0.0","0.0"
"MINI","Cooper S","0.0","0.0","0.0","0.0","1.6","4.0","25.0","32.0","0.0","0.0","0.0"
"MINI","Cooper S Conv","0.0","0.0","0.0","0.0","1.6","4.0","25.0","32.0","0.0","0.0","0.0"
"MITSUBISHI","Lancer","0.0","0.0","0.0","1.0","2.0","4.0","25.0","31.0","0.0","0.0","0.0"
"PONTIAC","Grand Am","0.0","0.0","0.0","1.0","2.2","4.0","25.0","34.0","0.0","0.0","0.0"
"PONTIAC","Vibe","0.0","1.0","0.0","0.0","1.8","4.0","25.0","32.0","0.0","0.0","0.0"
"SUZUKI","Aerio","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","25.0","31.0","0.0","0.0","0.0"
"SUZUKI","Aerio","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","25.0","31.0","0.0","0.0","0.0"
"SUZUKI","Aerio SX","0.0","1.0","0.0","1.0","2.3000000000000003","4.0","25.0","30.0","0.0","0.0","0.0"
"SUZUKI","Aerio SX","0.0","1.0","0.0","0.0","2.3000000000000003","4.0","25.0","31.0","0.0","0.0","0.0"
"TOYOTA","Celica","0.0","0.0","0.0","1.0","1.8","4.0","25.0","31.0","0.0","0.0","0.0"
"TOYOTA","Matrix","0.0","1.0","0.0","0.0","1.8","4.0","25.0","32.0","0.0","0.0","0.0"
"VOLKSWAGEN","New Beetle","0.0","0.0","0.0","0.0","1.8","4.0","25.0","30.0","0.0","0.0","0.0"
"VOLKSWAGEN","New Beetle Conv","0.0","0.0","0.0","0.0","1.8","4.0","25.0","30.0","0.0","0.0","0.0"
"AUDI","A4","0.0","0.0","0.0","1.0","2.0","4.0","24.0","32.0","0.0","0.0","0.0"
"CHEVROLET","Cavalier","0.0","0.0","0.0","1.0","2.2","4.0","24.0","34.0","0.0","0.0","0.0"
"CHEVROLET","Cobalt","0.0","0.0","0.0","1.0","2.2","4.0","24.0","32.0","0.0","0.0","0.0"
"CHEVROLET","Malibu","0.0","0.0","0.0","1.0","2.2","4.0","24.0","35.0","0.0","0.0","0.0"
"CHRYSLER","Sebring","0.0","0.0","0.0","0.0","2.4","4.0","24.0","32.0","0.0","0.0","0.0"
"DODGE","Stratus","0.0","0.0","0.0","0.0","2.4","4.0","24.0","32.0","0.0","0.0","0.0"
"FORD","Escape 2WD","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","24.0","29.0","1.0","0.0","0.0"
"FORD","Ranger Pickup 2WD","0.0","0.0","1.0","0.0","2.3000000000000003","4.0","24.0","29.0","0.0","0.0","0.0"
"HONDA","Accord","0.0","0.0","0.0","1.0","2.4","4.0","24.0","34.0","0.0","0.0","0.0"
"HYUNDAI","Elantra","0.0","0.0","0.0","1.0","2.0","4.0","24.0","32.0","0.0","0.0","0.0"
"HYUNDAI","Tiburon","0.0","0.0","0.0","0.0","2.0","4.0","24.0","30.0","0.0","0.0","0.0"
"KIA","Rio","0.0","0.0","0.0","1.0","1.6","4.0","24.0","31.0","0.0","0.0","0.0"
