Brand	Model	Minivan	Wagon	Pickup	Automatic	EngineSize	Cylinders	CityMPG	HwyMPG	SUV	AWD	Hybrid
PONTIAC	Sunfire	0.000000	0.000000	0.000000	0.000000	2.200000	4.000000	26.000000	36.000000	0.000000	0.000000	0.000000
PONTIAC	Vibe AWD	0.000000	1.000000	0.000000	1.000000	1.800000	4.000000	26.000000	31.000000	0.000000	1.000000	0.000000
PONTIAC	Wave	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
PONTIAC	Wave 5	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
SATURN	Ion	0.000000	0.000000	0.000000	0.000000	2.200000	4.000000	26.000000	35.000000	0.000000	0.000000	0.000000
SUZUKI	Swift	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
SUZUKI	Swift +	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
TOYOTA	Corolla	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
TOYOTA	Matrix 4WD	0.000000	1.000000	0.000000	1.000000	1.800000	4.000000	26.000000	31.000000	0.000000	0.000000	0.000000
TOYOTA	MR2	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	26.000000	32.000000	0.000000	0.000000	0.000000
TOYOTA	MR2	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	26.000000	33.000000	0.000000	0.000000	0.000000
ACURA	RSX	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	25.000000	34.000000	0.000000	0.000000	0.000000
CHEVROLET	Classic	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	25.000000	34.000000	0.000000	0.000000	0.000000
CHEVROLET	Cobalt	0.000000	0.000000	0.000000	0.000000	2.200000	4.000000	25.000000	34.000000	0.000000	0.000000	0.000000
KIA	Rio	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	25.000000	31.000000	0.000000	0.000000	0.000000
KIA	Spectra	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	25.000000	33.000000	0.000000	0.000000	0.000000
MAZDA		0.000000	0.000000	0.000000	0.000000	2.300000	4.000000	25.000000	32.000000	0.000000	0.000000	0.000000
MINI	Cooper S	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	25.000000	32.000000	0.000000	0.000000	0.000000
MINI	Cooper S Conv	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	25.000000	32.000000	0.000000	0.000000	0.000000
MITSUBISHI	Lancer	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	25.000000	31.000000	0.000000	0.000000	0.000000
PONTIAC	Grand Am	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	25.000000	34.000000	0.000000	0.000000	0.000000
PONTIAC	Vibe	0.000000	1.000000	0.000000	0.000000	1.800000	4.000000	25.000000	32.000000	0.000000	0.000000	0.000000
SUZUKI	Aerio	0.000000	0.000000	0.000000	1.000000	2.300000	4.000000	25.000000	31.000000	0.000000	0.000000	0.000000
SUZUKI	Aerio	0.000000	0.000000	0.000000	0.000000	2.300000	4.000000	25.000000	31.000000	0.000000	0.000000	0.000000
SUZUKI	Aerio SX	0.000000	1.000000	0.000000	1.000000	2.300000	4.000000	25.000000	30.000000	0.000000	0.000000	0.000000
SUZUKI	Aerio SX	0.000000	1.000000	0.000000	0.000000	2.300000	4.000000	25.000000	31.000000	0.000000	0.000000	0.000000
TOYOTA	Celica	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	25.000000	31.000000	0.000000	0.000000	0.000000
TOYOTA	Matrix	0.000000	1.000000	0.000000	0.000000	1.800000	4.000000	25.000000	32.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	New Beetle	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	25.000000	30.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	New Beetle Conv	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	25.000000	30.000000	0.000000	0.000000	0.000000
AUDI	A4	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
CHEVROLET	Cavalier	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	24.000000	34.000000	0.000000	0.000000	0.000000
CHEVROLET	Cobalt	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
CHEVROLET	Malibu	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	24.000000	35.000000	0.000000	0.000000	0.000000
CHRYSLER	Sebring	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
DODGE	Stratus	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
FORD	Escape 2WD	0.000000	0.000000	0.000000	0.000000	2.300000	4.000000	24.000000	29.000000	1.000000	0.000000	0.000000
FORD	Ranger Pickup 2WD	0.000000	0.000000	1.000000	0.000000	2.300000	4.000000	24.000000	29.000000	0.000000	0.000000	0.000000
HONDA	Accord	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	24.000000	34.000000	0.000000	0.000000	0.000000
HYUNDAI	Elantra	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
HYUNDAI	Tiburon	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	24.000000	30.000000	0.000000	0.000000	0.000000
KIA	Rio	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
